username,numPosts,numFollowers,numFollowing
JONESNA,2270,19,48
titanRetire,1128,104,6
Corning,266,151,11
Synthesis,398,37,46
hedgehogger,766,71,12
onpaper,8366,146,64
TomAspray,1673,16335,1
Luntik,512,6,4
AquaVisions,2551,120,9
Casi,223,49,34
LightspeedTrader,441,16,24
Solupsist,30,77,28
gambl0r,799,5,2
FacebookStock,26,24,39
RUMwaveTrading,126,39,17
techtrader101,1677,159,11
Whodoneit03,1979,59,14
DellShares,757,265,34
runAAPLrun,600,15,8
barronstechblog,5,301,20
murat_b,38,108,9
AidanFX,20,171,1
ERtrader,30,78,8
DanielHusseyJr,105,185,19
bandit1,6,6,34
bsvtwit,722,248,22
WrightINV,9,112,0
cjbullock,136,76,21
Fibowave,6,23,0
yesyouall,1916,57,55
Wavepatterntraders,6637,4784,1
BadAlgo,5,133,4
TheHemi,9,15,16
dataevolved,35,24,51
WinstonWolf,318,10,1
john_frankel,125,250,26
IndependentTrdr,477,143,8
TheHustler,3787,25,69
SteadySpreader,19,12,10
Eric_Sneed,20,15,0
MikeEisenbergMD,600,41,4
Technomentals,941,12237,11
NHStocktrdr,871,127,22
rob_zim,975,61,16
chrispycrunch,3543,19586,11
mcortesbr,2728,64,7
JASaglimbeni,18,28,39
Babytrades,6,13,14
biomike10,1082,41,36
AceStocks,803,285,100
mrchach,215,13,22
TrendLizard,849,113,81
USFInvestor,12,35,21
dkino,465,29,59
gera970,2570,476,3
StockJockey,7,64,1
elliott_wave_charts,38,29,6
Trendfollowingmentor,507,261,11
Miami_Trader,413,53,0
satenoch,3101,752,14
fromtheolive,19,49,29
brandon123,14934,686,53
henrisimoes,461,336,1
IntegralTriple,362,30,41
mariannerichmond,6,38,60
goldminerpulse,22,154,28
elliottwavelive,90,278,28
Elliott_Trader,10,32,17
SmallTrades,116,8,6
Dr_PennyStock,293,256,5
oliversorin,29,174,98
stacyl,1465,108,19
shivy1,46,6,8
Irc203,76,12,246
StankyPigano,607,27,0
TigerTrader,46,49,2
WhyLose,15,36,3
rsf,42,9,1
euroitis,39,13,0
takeaseat,527,509,24
jpoggi,178,143,0
akirachart,15,39,0
SriramaTanniru,1759,222,2
DanDynasty,291,15,13
daysinnnc,18,36,33
40DollarBill,389,101,38
kennshaw72,1060,71,7
BULLLSEYE,42,7,21
scottydinamite,876,16,69
Bayfield_byv,8,178,82
mytfine,35994,4440,36
InvestorsCloud,127,95,2
Market_Chartist,3835,10274,2
scorpfx,9181,6212,9
AnthonyFelipe,107,3621,2
globalview,570,5651,12
toproveican,28,105,12
FOREXcom,25,897,18
Muttly,224,50,69
